State,Year,Total_co2_emission,Average_Price,resident_population,Total_energy,Total_renewable_energy,,
AL,2009,120.100202,16.55,4758,1449253,264487,,
NJ,2002,119.606006,10.59,8553,350995,28695,,
VA,2002,119.126947,10.45,7287,1235676,76937,,
NJ,2001,119.072285,11.13,8493,347245,29055,,
NJ,1998,118.235726,8.89,8287,323494,38850,,
MO,2016,117.678467,17.29,6087,190279,50662,,
VA,2008,116.532737,21.18,7833,1166053,117389,,
WV,2002,116.478306,8.53,1805,4047572,15137,,
AL,2016,115.088298,14.81,4865,1124482,235494,,
WV,1999,114.694487,7.64,1812,4242051,14808,,
WV,2007,114.372987,15.02,1834,4155403,26006,,
WV,2000,114.188998,8.78,1807,4339126,17379,,
NJ,2011,114.175817,24.19,8828,388669,37011,,
WV,1998,114.044767,7.26,1816,4640243,16211,,
VA,1999,113.959613,8.8,7000,1345658,120016,,
NJ,2010,113.866039,21.28,8800,377491,34965,,
NJ,2014,113.2657,22.95,8867,383791,54258,,
WV,2003,113.056621,9.68,1812,3765536,19809,,
WV,2006,112.147878,14.39,1828,4106081,28268,,
WV,2005,111.982933,13.24,1820,4136605,28331,,
VA,1998,111.939084,8.44,6901,1374506,122808,,
NJ,2015,111.582529,18.49,8871,399260,51408,,
OK,2008,111.557763,20.39,3669,2599173,73670,,
NJ,2016,110.834299,17.25,8875,363924,51355,,
WV,1997,110.645496,7.91,1819,4685293,17582,,
WI,2005,110.483536,15.08,5546,248416,120705,,
WV,2008,110.202862,17.64,1840,4188949,29247,,
VA,1997,109.942409,9.23,6829,1425090,123325,,
WV,2004,109.794783,10.85,1816,3976697,19228,,
OK,2006,109.634984,16.46,3594,2352428,50325,,
NJ,2009,109.601144,19.12,8756,392825,33789,,
TN,2010,109.571968,18.66,6355,509393,141186,,
OK,2007,108.86774,17.07,3634,2458990,74304,,
VA,2010,108.652444,19.2,8024,1100815,107312,,
WI,2000,107.755557,9.93,5374,233384,112750,,
NJ,2013,107.339117,23.74,8858,398511,49726,,
OK,2011,107.244381,19.76,3788,2716285,98453,,
WI,2004,107.209679,12.75,5514,232711,93609,,
WI,2002,106.735324,10,5445,231538,98559,,
OK,2005,106.311547,14.83,3549,2286466,61329,,
TN,2011,106.068497,22.05,6397,511186,152488,,
OK,2009,105.836533,15.92,3718,2605676,79395,,
WI,1999,105.581797,8.23,5333,234332,113636,,
WI,2001,105.57312,10.56,5407,242017,121275,,
OK,2010,105.519628,17.13,3760,2578993,93757,,
VA,2009,105.464708,17.56,7926,1091443,114854,,
VA,2013,105.042324,22.12,8253,1025885,118231,,
WI,2008,104.78197,20.14,5641,303547,114688,,
WI,2003,104.74777,11.32,5479,242769,104497,,
OK,2014,104.51588,19.93,3878,3703340,159199,,
OK,2012,104.431602,20.19,3819,2996505,119449,,
WI,2007,104.384903,17.95,5611,283921,109034,,
VA,2016,104.237817,16.61,8411,910658,134016,,
VA,2014,104.079051,21.81,8312,985885,130714,,
TN,2014,103.645676,21.4,6541,505397,154468,,
NJ,2012,103.593549,24.34,8845,389755,42793,,
WV,2001,103.52562,8.81,1801,4330256,14725,,
WI,1997,103.338391,8.26,5266,164284,122612,,
OK,2003,103.31713,10.89,3505,2183881,41954,,
OK,2013,103.25855,19.75,3853,3166872,161197,,
VA,2015,103.198361,17.9,8363,931905,131610,,
TN,2016,103.072623,16.16,6645,489650,127173,,
WI,2006,102.649737,16.75,5578,272282,115196,,
AZ,2008,102.248473,23.95,6280,576899,88850,,
TN,2009,101.971095,17.14,6306,518586,155555,,
AZ,2007,101.875063,20.87,6168,538976,79355,,
MN,2005,101.374944,14.45,5120,274338,81276,,
WI,1998,101.295193,7.97,5298,206741,107579,,
OK,2002,101.135081,9.51,3489,2221272,40915,,
WI,2014,101.061041,20.66,5752,312549,140932,,
MN,2003,101.009757,10.81,5054,253551,62604,,
OK,2001,100.903859,10.46,3467,2295579,48390,,
WI,2013,100.810347,20.27,5737,325599,138009,,
OK,2015,100.666411,16.02,3910,4023984,184747,,
WV,2010,100.386365,17.43,1854,3700095,42406,,
MN,2007,100.342555,17.12,5207,316669,96776,,
MN,2004,100.305563,12.14,5088,264134,68844,,
WV,2014,99.95947,20.09,1849,4201168,50319,,
TN,2015,99.951545,17.45,6591,479072,157151,,
AZ,2006,99.921111,19.7,6029,511638,80772,,
MN,2008,99.851166,19.06,5247,350936,115658,,
WI,2015,99.831976,16.98,5761,307426,131482,,
VA,2011,99.821755,22.3,8100,1087672,102295,,
TN,2012,99.648656,22.26,6451,473054,143005,,
OK,2000,99.531969,9.97,3454,2279890,47389,,
OK,2004,99.286875,12.33,3525,2319063,62058,,
CO,2007,98.816598,17.06,4804,2359097,39490,,
MN,2006,98.732567,16.08,5164,294737,80232,,
OK,1997,98.567953,8.06,3373,2456333,55183,,
TN,2013,98.273647,21.64,6493,551253,185717,,
WI,2010,98.234237,18.46,5690,342572,132144,,
VA,2012,97.800619,22.73,8185,1047354,101529,,
WV,2011,97.734171,20.53,1856,3820505,44580,,
MN,2000,97.426876,9.88,4934,238587,71811,,
WI,2011,97.379689,20.9,5705,323588,132130,,
MN,2002,97.008202,9.56,5019,250113,64215,,
OK,1998,96.980556,7.5,3405,2388864,60591,,
OK,2016,96.911043,13.99,3927,4004641,240203,,
CO,2008,96.878896,19.81,4890,2466361,63044,,
AZ,2005,96.681039,17.87,5839,611615,78333,,
AZ,2004,96.607118,15.36,5652,653416,81376,,
OK,1999,96.380678,7.89,3437,2281805,55318,,
CO,2006,96.21003,16.94,4720,2289963,35112,,
WI,2009,95.846381,16.71,5669,303439,107292,,
WI,2016,95.609027,15.77,5773,309813,129893,,
AZ,2010,95.311563,22.32,6408,579778,77419,,
CO,2010,95.286071,17.46,5048,2561382,62321,,
CO,2005,95.211354,15.15,4632,2246251,31449,,
AZ,2013,95.187654,25.89,6635,591410,98874,,
MN,2014,94.780587,19.55,5452,471362,179848,,
WV,2016,94.552182,16.45,1831,3784831,44824,,
MN,2001,94.44996,10.42,4983,232063,72783,,
WV,2013,94.331604,20.64,1854,3799597,54160,,
AZ,2009,93.398881,20.14,6343,563061,73117,,
AZ,2011,93.383383,25.37,6473,615323,105082,,
AZ,2014,93.168568,25.77,6734,631852,114133,,
CO,2004,92.999158,12.48,4575,2194135,22263,,
CO,2009,92.724713,15.48,4972,2497428,62932,,
CO,2001,92.579792,10.72,4426,1736326,23575,,
MN,1999,92.217014,8.2,4873,234564,68076,,
MN,2009,92.09096,15.3,5281,388201,127835,,
WV,2015,92.08074,16.89,1842,4106078,45199,,
WV,2012,92.056806,21.19,1857,3720572,44235,,
MN,2010,91.888936,17,5311,432932,132851,,
CO,2014,91.726979,21.29,5351,3060817,108091,,
CO,2011,91.628708,21.28,5122,2749591,85169,,
MN,2011,91.591909,19.81,5346,429380,146147,,
MN,1998,91.484701,7.9,4813,202676,62648,,
MN,1997,91.431598,8.46,4763,197048,67314,,
AZ,2012,91.363448,26.19,6557,594938,93042,,
CO,2013,91.142754,21.13,5270,2834198,99785,,
AZ,2015,90.945957,22.47,6834,614524,120715,,
CO,2002,90.684106,9.6,4490,1926698,20880,,
CO,2012,90.501519,21.8,5194,2921831,85723,,
CO,2015,90.422297,17.19,5452,3193430,102732,,
WI,2012,90.188846,21.34,5720,344205,127575,,
CO,2003,90.057094,10.78,4529,2028512,21650,,
AZ,2003,89.612158,13.86,5510,643921,83079,,
MN,2013,89.577238,19.66,5414,411425,158347,,
WV,2009,89.368775,15.98,1848,3734008,45048,,
MN,2016,89.254966,14.9,5523,483350,177107,,
IA,2008,89.049678,18.05,3017,454058,73135,,
CO,2016,89.039444,15.77,5541,3078173,125412,,
AZ,2001,88.42714,12.82,5273,684436,90513,,
IA,2010,88.375812,15.36,3051,673440,127122,,
MN,2015,87.77343,16.15,5483,457277,173977,,
AZ,2002,87.75969,12.39,5396,689876,86880,,
SC,2004,87.381215,12.4,4211,631351,97431,,
AZ,2016,87.00595,20.65,6945,593132,130858,,
SC,2007,86.836556,17.2,4444,653011,94997,,
MN,2012,86.635753,20.02,5377,426849,157313,,
SC,2006,86.340018,16.12,4358,628681,98610,,
AZ,2000,86.069526,12.94,5161,705102,100776,,
SC,2005,86.011937,14.93,4270,658748,104205,,
MA,1997,85.808863,11.77,6226,117549,72315,,
IA,2011,85.48147,17.79,3066,689289,133401,,
IA,2007,85.23392,16.09,2999,380265,61037,,
SC,2008,84.578196,20.56,4529,633034,92008,,
MA,2003,84.533724,14.76,6423,102218,50338,,
CO,2000,84.487954,10.25,4327,1586157,26935,,
MA,2005,84.462498,19.51,6403,97933,40796,,
IA,2009,83.978199,14.26,3033,585769,109693,,
MA,1998,83.866139,10.89,6272,126195,66413,,
SC,2010,83.370383,18.57,4636,657887,114508,,
MA,2002,83.205712,12.77,6417,106959,46722,,
MA,2004,82.880468,16.33,6412,112998,51071,,
MA,2000,82.504278,13.03,6361,126949,69462,,
MA,2001,82.359783,14.3,6398,101717,47998,,
MD,2005,82.005117,16.83,5592,323805,43642,,
IA,2014,81.803697,17.64,3110,755052,188053,,
MA,1999,81.375809,10.98,6317,112385,65168,,
IA,2013,80.950176,17.22,3093,730656,176771,,
SC,2000,80.726465,10.31,4024,623170,92462,,
